省,省确诊,省治愈,省死亡,日期
湖北省,16678,537,479,2020/2/4
广东省,895,42,0,2020/2/4
上海市,243,15,1,2020/2/4
黑龙江省,190,7,2,2020/2/4
北京市,253,24,1,2020/2/4
陕西省,165,6,0,2020/2/4
四川省,301,24,1,2020/2/4
辽宁省,88,4,0,2020/2/4
贵州省,64,9,1,2020/2/4
广西壮族自治区,150,13,0,2020/2/4
浙江省,895,68,0,2020/2/4
山东省,307,15,0,2020/2/4
云南省,124,5,0,2020/2/4
海南省,91,5,1,2020/2/4
内蒙古自治区,42,3,0,2020/2/4
甘肃省,57,4,0,2020/2/4
天津市,69,2,1,2020/2/4
重庆市,376,15,2,2020/2/4
江苏省,341,23,0,2020/2/4
河南省,764,41,2,2020/2/4
湖南省,661,35,0,2020/2/4
山西省,81,4,0,2020/2/4
河北省,135,6,1,2020/2/4
吉林省,54,2,0,2020/2/4
江西省,548,27,0,2020/2/4
新疆维吾尔自治区,32,0,0,2020/2/4
安徽省,530,21,0,2020/2/4
福建省,205,11,0,2020/2/4
青海省,17,3,0,2020/2/4
湖北省,19665,712,549,2020/2/5
广东省,970,69,0,2020/2/5
上海市,257,25,1,2020/2/5
黑龙江省,227,8,3,2020/2/5
北京市,274,31,1,2020/2/5
陕西省,173,8,0,2020/2/5
四川省,321,31,1,2020/2/5
辽宁省,91,5,0,2020/2/5
贵州省,71,6,1,2020/2/5
广西壮族自治区,168,14,0,2020/2/5
浙江省,954,94,0,2020/2/5
山东省,347,27,0,2020/2/5
云南省,133,7,0,2020/2/5
海南省,106,8,1,2020/2/5
内蒙古自治区,46,4,0,2020/2/5
宁夏回族自治区,40,1,0,2020/2/5
甘肃省,62,6,0,2020/2/5
天津市,78,2,1,2020/2/5
重庆市,400,15,2,2020/2/5
江苏省,373,34,0,2020/2/5
河南省,851,56,2,2020/2/5
湖南省,711,79,0,2020/2/5
山西省,90,8,0,2020/2/5
河北省,157,12,1,2020/2/5
吉林省,59,3,0,2020/2/5
江西省,600,37,0,2020/2/5
新疆维吾尔自治区,36,0,0,2020/2/5
安徽省,591,32,0,2020/2/5
福建省,215,14,0,2020/2/5
青海省,18,3,0,2020/2/5
湖北省,22112,856,618,2020/2/6
广东省,1034,88,1,2020/2/6
上海市,277,30,1,2020/2/6
黑龙江省,277,12,3,2020/2/6
北京市,297,33,1,2020/2/6
陕西省,184,17,0,2020/2/6
四川省,344,42,1,2020/2/6
辽宁省,96,7,0,2020/2/6
贵州省,81,6,1,2020/2/6
广西壮族自治区,172,17,0,2020/2/6
浙江省,1006,123,0,2020/2/6
山东省,386,37,0,2020/2/6
云南省,136,13,0,2020/2/6
海南省,117,10,2,2020/2/6
内蒙古自治区,50,5,0,2020/2/6
宁夏回族自治区,43,5,0,2020/2/6
甘肃省,67,9,0,2020/2/6
天津市,81,2,1,2020/2/6
重庆市,415,31,2,2020/2/6
江苏省,408,41,0,2020/2/6
河南省,914,80,3,2020/2/6
湖南省,772,112,0,2020/2/6
山西省,96,15,0,2020/2/6
河北省,172,22,1,2020/2/6
吉林省,65,4,1,2020/2/6
江西省,661,45,0,2020/2/6
新疆维吾尔自治区,39,0,0,2020/2/6
安徽省,665,47,0,2020/2/6
福建省,224,16,0,2020/2/6
湖北省,24953,1215,699,2020/2/7
广东省,1095,112,1,2020/2/7
上海市,286,41,1,2020/2/7
黑龙江省,295,13,5,2020/2/7
北京市,315,34,2,2020/2/7
陕西省,195,20,0,2020/2/7
四川省,363,60,1,2020/2/7
辽宁省,105,8,0,2020/2/7
贵州省,89,7,1,2020/2/7
广西壮族自治区,183,17,0,2020/2/7
浙江省,1048,175,0,2020/2/7
山东省,416,44,0,2020/2/7
云南省,138,17,0,2020/2/7
海南省,124,14,2,2020/2/7
内蒙古自治区,52,5,0,2020/2/7
宁夏回族自治区,45,15,0,2020/2/7
甘肃省,71,9,1,2020/2/7
天津市,88,4,1,2020/2/7
重庆市,428,39,2,2020/2/7
江苏省,439,51,0,2020/2/7
河南省,981,111,4,2020/2/7
湖南省,803,156,1,2020/2/7
山西省,104,20,0,2020/2/7
河北省,195,30,1,2020/2/7
吉林省,69,4,1,2020/2/7
江西省,698,55,0,2020/2/7
新疆维吾尔自治区,42,0,0,2020/2/7
安徽省,733,59,0,2020/2/7
福建省,239,24,0,2020/2/7
湖北省,27100,1480,780,2020/2/8
广东省,1131,140,1,2020/2/8
上海市,293,44,1,2020/2/8
黑龙江省,307,14,6,2020/2/8
北京市,326,37,2,2020/2/8
陕西省,208,25,0,2020/2/8
四川省,386,71,1,2020/2/8
辽宁省,107,12,0,2020/2/8
贵州省,99,7,1,2020/2/8
广西壮族自治区,195,18,1,2020/2/8
浙江省,1075,201,0,2020/2/8
山东省,444,62,1,2020/2/8
云南省,141,18,0,2020/2/8
海南省,130,19,3,2020/2/8
内蒙古自治区,54,5,0,2020/2/8
宁夏回族自治区,45,13,0,2020/2/8
甘肃省,79,15,1,2020/2/8
天津市,90,4,1,2020/2/8
重庆市,450,50,2,2020/2/8
江苏省,468,71,0,2020/2/8
河南省,1033,153,6,2020/2/8
湖南省,838,186,1,2020/2/8
山西省,115,22,0,2020/2/8
河北省,206,34,2,2020/2/8
吉林省,78,12,1,2020/2/8
江西省,740,74,0,2020/2/8
新疆维吾尔自治区,45,0,0,2020/2/8
安徽省,779,72,1,2020/2/8
福建省,250,35,0,2020/2/8
湖北省,29631,1828,871,2020/2/9
广东省,1159,164,1,2020/2/9
上海市,299,48,1,2020/2/9
黑龙江省,331,30,7,2020/2/9
北京市,337,44,2,2020/2/9
陕西省,213,27,0,2020/2/9
四川省,405,80,1,2020/2/9
辽宁省,108,12,0,2020/2/9
贵州省,109,10,1,2020/2/9
广西壮族自治区,210,18,1,2020/2/9
浙江省,1092,239,0,2020/2/9
山东省,466,66,1,2020/2/9
云南省,149,19,0,2020/2/9
海南省,138,19,3,2020/2/9
内蒙古自治区,58,5,0,2020/2/9
宁夏回族自治区,49,13,0,2020/2/9
甘肃省,83,17,2,2020/2/9
天津市,94,8,1,2020/2/9
重庆市,473,66,2,2020/2/9
江苏省,492,80,0,2020/2/9
河南省,1073,187,6,2020/2/9
湖南省,879,201,1,2020/2/9
山西省,119,25,0,2020/2/9
